full_name,country,years_old,gender,type_beer,lupulo, alcohol
Talya Enefer,France,28,0,Light,0.04-0.063,0.04
Ransell Duckhouse,France,59,1,Light,0.135-0.15,0.04
Giuditta Ferreira,Japan,44,0,Oscura,0.135-0.15,0.06
Ferdinande Ratter,Italy,70,0,Michelada,0.04-0.063,0.03
Lamont Ong,Japan,31,1,Michelada,0.04-0.063,0.06
Gayler Jakubovits,Italy,25,1,Malta_saborizada,0.08-0.09,0.03
Nicol MacAless,Japan,62,1,Light,0.04-0.063,0.04
Sully Aubrey,United States,47,1,Malta_saborizada,0.08-0.09,0.05
Wat Pechell,France,46,1,Michelada,0.04-0.063,0.06
Emmy McQuilkin,United States,36,1,Michelada,0.16-0.21,0.04
Eloisa De Haven,United States,60,0,Malta_saborizada,0.08-0.09,0.03
Langston Agget,France,42,1,Oscura,0.135-0.15,0.03
Travis Gravey,Japan,44,1,Malta_saborizada,0.08-0.09,0.06
Christiane Aggus,Japan,62,0,Malta_saborizada,0.08-0.09,0.04
Yulma Pomery,Canada,52,1,Michelada,0.08-0.09,0.04
Rorke Mattosoff,Japan,68,1,Malta_saborizada,0.135-0.15,0.06
Emera Treharne,United States,29,0,Oscura,0.135-0.15,0.05
Spike Dalwood,France,47,1,Oscura,0.08-0.09,0.03
Nanine Ludwell,Canada,41,0,Light,0.08-0.09,0.06
Feliks Moncreiff,Japan,41,1,Light,0.135-0.15,0.06
Domeniga Venes,United States,38,0,Malta_saborizada,0.08-0.09,0.06
Baldwin Ashburner,Japan,38,1,Light,0.16-0.21,0.04
Peri Sylvaine,United States,24,0,Light,0.08-0.09,0.03
Danette Swatland,United States,30,0,Light,0.04-0.063,0.05
Jonell Twamley,France,23,0,Michelada,0.04-0.063,0.05
Alvera Conti,United States,19,0,Malta_saborizada,0.16-0.21,0.05
Granville Aitchinson,France,19,1,Oscura,0.08-0.09,0.04
Enrico Trusse,France,34,1,Michelada,0.16-0.21,0.04
Far Deaville,France,25,1,Michelada,0.08-0.09,0.06
Ray Hewlings,Canada,44,1,Light,0.16-0.21,0.06
Mabel Wankling,France,20,0,Malta_saborizada,0.16-0.21,0.04
Hermann Matzke,France,68,1,Light,0.08-0.09,0.05
Benton Gatheral,France,64,1,Michelada,0.08-0.09,0.06
Barbette FitzGilbert,United States,43,0,Oscura,0.08-0.09,0.04
Hersch Dalston,Canada,60,1,Michelada,0.135-0.15,0.04
Dino Buckberry,France,23,1,Light,0.04-0.063,0.03
Talyah Purches,United States,60,0,Malta_saborizada,0.08-0.09,0.03
Gerick Hanaford,United States,31,1,Michelada,0.08-0.09,0.04
Marianna McBryde,Japan,48,0,Light,0.135-0.15,0.06
Barty Sleigh,France,31,1,Michelada,0.135-0.15,0.03
Daniel O'Glessane,Japan,69,1,Michelada,0.08-0.09,0.06
Ellette Kiddle,Japan,20,0,Light,0.04-0.063,0.05
Leanor Alloway,Japan,47,0,Light,0.16-0.21,0.03
Silva Norquoy,Canada,51,0,Oscura,0.135-0.15,0.05
Lammond Baty,France,61,1,Malta_saborizada,0.135-0.15,0.04
Babbie Sextie,France,58,0,Malta_saborizada,0.16-0.21,0.04
Bradan Madgwich,Canada,47,1,Malta_saborizada,0.04-0.063,0.04
Mylo Goundrill,Japan,57,1,Oscura,0.04-0.063,0.04
Duane Knath,Japan,29,1,Malta_saborizada,0.16-0.21,0.06
Baryram Davana,Canada,42,1,Michelada,0.04-0.063,0.04
Moll Wigsell,France,18,0,Oscura,0.08-0.09,0.04
Pedro Verman,Canada,22,1,Light,0.135-0.15,0.03
Diana Lukesch,Japan,51,0,Michelada,0.16-0.21,0.06
Deirdre Pakenham,United States,27,0,Oscura,0.16-0.21,0.03
Jilleen Sissel,United States,57,0,Oscura,0.08-0.09,0.04
Skyler Klausen,United States,51,1,Michelada,0.135-0.15,0.05
Vaughan Gritsaev,Germany,67,1,Light,0.135-0.15,0.06
Pail Liccardo,Canada,66,1,Michelada,0.08-0.09,0.03
Jessie Rait,France,50,1,Oscura,0.04-0.063,0.03
Thelma Courson,Canada,66,0,Light,0.135-0.15,0.03
Abbey Stoffel,Italy,63,0,Light,0.135-0.15,0.04
Dwain Luto,Japan,70,1,Michelada,0.16-0.21,0.05
Leila Hexham,United States,18,0,Michelada,0.135-0.15,0.04
Rena Gouny,France,55,0,Malta_saborizada,0.04-0.063,0.04
Cyrus Woofinden,France,64,1,Light,0.08-0.09,0.03
Katherine Bilston,Japan,28,0,Malta_saborizada,0.16-0.21,0.04
Poul Santoro,Canada,32,1,Oscura,0.04-0.063,0.06
Gertrud Blaydon,United States,54,0,Michelada,0.04-0.063,0.06
Kameko Liversidge,Canada,39,0,Malta_saborizada,0.04-0.063,0.06
Nomi Petett,Canada,37,0,Malta_saborizada,0.08-0.09,0.06
Ivonne Nortunen,United States,59,0,Light,0.16-0.21,0.05
Kassie Merkel,United States,59,0,Light,0.135-0.15,0.06
Barnaby Kidney,France,30,1,Malta_saborizada,0.08-0.09,0.05
Katharyn Franzoli,United States,26,0,Oscura,0.135-0.15,0.06
Lian Jecks,Japan,57,0,Michelada,0.16-0.21,0.06
Leslie Schustl,Canada,39,0,Light,0.16-0.21,0.04
Cecilla Seyfart,France,57,0,Oscura,0.08-0.09,0.04
Hube Titchener,France,58,1,Malta_saborizada,0.16-0.21,0.05
Padriac Bodsworth,Germany,55,1,Michelada,0.16-0.21,0.03
Langsdon Borrel,France,55,1,Oscura,0.16-0.21,0.06
Eldredge Schurcke,France,46,1,Oscura,0.08-0.09,0.03
Gerhard Tollmache,Japan,38,1,Michelada,0.08-0.09,0.05
Stan Petran,France,26,1,Michelada,0.135-0.15,0.06
Ives Dickey,Canada,54,1,Malta_saborizada,0.08-0.09,0.06
Dennie Nutman,Canada,41,0,Michelada,0.04-0.063,0.05
Clayton Barbary,France,52,1,Malta_saborizada,0.08-0.09,0.03
Randene Toogood,France,61,0,Michelada,0.135-0.15,0.03
Boone Friend,United States,38,1,Oscura,0.135-0.15,0.06
Gabrielle Kydd,Japan,52,0,Oscura,0.08-0.09,0.06
Rubetta Gorsse,France,33,0,Malta_saborizada,0.04-0.063,0.05
Orly Ottewell,Japan,62,0,Michelada,0.04-0.063,0.04
Dot Llopis,Japan,18,0,Light,0.04-0.063,0.04
York Balmadier,France,21,1,Michelada,0.04-0.063,0.03
Austin Livezey,United States,41,0,Light,0.16-0.21,0.03
Stesha Myderscough,France,48,0,Light,0.04-0.063,0.03
Deonne Castello,United States,64,0,Light,0.16-0.21,0.05
Bernarr Larvent,France,60,1,Oscura,0.08-0.09,0.05
Michele de Pinna,Canada,57,1,Light,0.135-0.15,0.04
Dorey Brack,Germany,36,1,Malta_saborizada,0.08-0.09,0.05
Mercie Avieson,France,27,0,Michelada,0.04-0.063,0.04
Lavinie Flaunier,France,25,0,Oscura,0.08-0.09,0.04
Cassandra Ablott,Japan,66,0,Malta_saborizada,0.08-0.09,0.05
Yank Chadd,United States,46,1,Michelada,0.04-0.063,0.06
Nealson Fontin,France,47,1,Oscura,0.08-0.09,0.06
Boigie Ghidoli,France,48,1,Light,0.04-0.063,0.06
Farra Tallow,United States,62,0,Light,0.16-0.21,0.05
Ritchie Kearton,France,44,1,Oscura,0.135-0.15,0.03
Alisa Sappell,Japan,22,0,Light,0.08-0.09,0.04
Sybilla Pluvier,United States,29,0,Michelada,0.08-0.09,0.04
Cal Dimitrov,United States,28,0,Oscura,0.135-0.15,0.06
Sunshine Elgram,France,41,0,Light,0.04-0.063,0.05
Gregory Brigham,Canada,18,1,Malta_saborizada,0.08-0.09,0.04
Clovis Wyburn,Japan,29,0,Michelada,0.04-0.063,0.06
Mira Moye,Canada,49,0,Michelada,0.08-0.09,0.06
Fiorenze Jiri,United States,20,0,Light,0.135-0.15,0.03
Lindsay Janczyk,Japan,34,1,Malta_saborizada,0.135-0.15,0.04
Belvia Baldry,France,45,0,Oscura,0.04-0.063,0.05
Jessa Larrington,Italy,40,0,Light,0.135-0.15,0.04
Eula Lambswood,France,69,0,Oscura,0.04-0.063,0.05
Kimbra Beste,United States,40,0,Malta_saborizada,0.135-0.15,0.06
Gibby Bushe,United States,21,1,Michelada,0.135-0.15,0.04
Friederike Kasbye,United Kingdom,70,0,Light,0.135-0.15,0.05
Gearard Kinnear,Japan,31,1,Malta_saborizada,0.135-0.15,0.05
Janina Rodder,United States,62,0,Light,0.135-0.15,0.06
Jaymie Freyn,France,24,1,Malta_saborizada,0.08-0.09,0.03
Bronnie Loggie,Japan,28,1,Oscura,0.04-0.063,0.03
Rachelle Upchurch,France,44,0,Malta_saborizada,0.04-0.063,0.05
Ilise Wickardt,France,43,0,Michelada,0.135-0.15,0.06
Inigo Kellitt,Japan,56,1,Oscura,0.08-0.09,0.04
Rubia Broadfoot,France,58,0,Malta_saborizada,0.08-0.09,0.03
Jarvis Laskey,Canada,41,1,Light,0.04-0.063,0.03
Vernor Audibert,Germany,63,1,Light,0.135-0.15,0.06
Chris Ulrik,United States,24,0,Oscura,0.04-0.063,0.05
Bucky Saffen,United Kingdom,63,1,Oscura,0.08-0.09,0.03
Marmaduke Tzuker,United States,56,1,Malta_saborizada,0.04-0.063,0.04
Grannie Tramel,United States,61,1,Light,0.08-0.09,0.04
Craig Leve,Canada,38,1,Oscura,0.08-0.09,0.03
Hildy Iori,United States,21,0,Oscura,0.08-0.09,0.05
Garland Saipy,United States,47,0,Malta_saborizada,0.135-0.15,0.06
Odell Raw,Japan,20,1,Light,0.08-0.09,0.06
Arley Rosten,France,23,1,Light,0.135-0.15,0.03
Isidore Songust,France,48,1,Malta_saborizada,0.08-0.09,0.05
Valdemar Pescod,Canada,35,1,Michelada,0.04-0.063,0.05
Terri-jo Southerell,France,54,0,Light,0.135-0.15,0.05
Gretel Stockford,Canada,47,0,Light,0.135-0.15,0.06
Franchot Biggerdike,United States,30,1,Malta_saborizada,0.08-0.09,0.06
Mufi Klagges,France,60,0,Light,0.16-0.21,0.03
Cassaundra Picford,France,70,0,Michelada,0.135-0.15,0.03
Curt Bunworth,United States,35,1,Michelada,0.04-0.063,0.03
Kathie Spottiswood,United States,54,0,Light,0.04-0.063,0.03
Abba Shellum,France,47,1,Oscura,0.16-0.21,0.03
Rafaela Gales,United States,34,0,Light,0.08-0.09,0.04
Daron Bushell,France,45,1,Light,0.135-0.15,0.05
Bayard Dunbobin,Canada,50,1,Michelada,0.08-0.09,0.04
Rubia Tearny,France,50,0,Light,0.16-0.21,0.05
Aimee Pawle,Canada,65,0,Oscura,0.04-0.063,0.06
Cassaundra Hollingby,France,41,0,Malta_saborizada,0.16-0.21,0.04
Aldwin Phythian,Japan,53,1,Michelada,0.135-0.15,0.03
Murial Battleson,United States,18,0,Oscura,0.04-0.063,0.05
Stavros Follows,Japan,33,1,Oscura,0.16-0.21,0.06
Granville Hourihane,Canada,59,1,Light,0.04-0.063,0.04
Charlean Spragge,France,19,0,Michelada,0.135-0.15,0.03
Christalle O'Brogan,France,56,0,Oscura,0.04-0.063,0.05
Dewitt Stickells,Germany,32,1,Oscura,0.135-0.15,0.04
Lita Cadore,United States,45,0,Michelada,0.04-0.063,0.05
Leonardo Blouet,France,43,1,Michelada,0.135-0.15,0.04
Abdul Totman,Canada,28,1,Michelada,0.135-0.15,0.04
Kean Petersen,United States,69,1,Oscura,0.08-0.09,0.03
Billye Kitchenside,United Kingdom,63,0,Oscura,0.16-0.21,0.06
Calli Agett,France,43,0,Malta_saborizada,0.135-0.15,0.04
